frame,pts_seconds,gray_mean,mean_absolute_difference
0,0.000,23.3211,0.0000
1,0.042,23.3498,0.2941
2,0.083,23.0399,0.4211
3,0.125,23.3319,0.4056
4,0.167,14.4251,11.8060
5,0.208,14.4259,0.0270
6,0.250,14.4158,0.0180
7,0.292,12.0691,6.8697
8,0.333,11.9208,0.1601
9,0.375,22.8833,12.8463
10,0.417,22.8931,0.0753
11,0.458,22.8960,0.0735
12,0.500,35.6437,17.2921
13,0.542,35.5324,0.3988
14,0.583,15.6998,22.9862
15,0.625,15.9010,0.3290
16,0.667,15.9073,0.0443
17,0.708,14.7131,6.4452
18,0.750,14.7603,0.0897
19,0.792,37.3881,25.8689
20,0.833,37.3488,0.2871
21,0.875,37.4268,0.2323
22,0.917,21.2175,22.7849
23,0.958,21.2097,0.0313
24,1.000,14.2425,10.6871
25,1.042,14.2485,0.0200
26,1.083,14.2454,0.0259
27,1.125,17.0853,7.9497
28,1.167,17.3106,0.3196
29,1.208,13.4045,9.3210
30,1.250,13.4237,0.0338
31,1.292,13.4232,0.0119
32,1.333,71.6695,61.1220
33,1.375,71.5010,0.6231
34,1.417,108.2426,37.1757
35,1.458,108.2540,0.6037
36,1.500,108.3694,0.4151
37,1.542,71.2022,37.4150
38,1.583,71.2336,0.4373
39,1.625,65.7886,9.7866
40,1.667,65.7862,0.0066
41,1.708,65.7861,0.0040
42,1.750,43.6483,23.0108
43,1.792,43.7310,0.4388
44,1.833,60.2039,20.2254
45,1.875,60.2987,0.7778
46,1.917,60.3352,0.5530
47,1.958,43.1165,18.3870
48,2.000,43.0390,0.4217
49,2.042,24.2338,18.8167
50,2.083,24.2389,0.1607
51,2.125,24.1684,0.2051
52,2.167,23.4835,3.0701
53,2.208,23.4561,0.1123
54,2.250,25.1954,3.2887
55,2.292,25.3131,0.1767
56,2.333,25.3189,0.0293
57,2.375,56.5980,31.3882
58,2.417,56.7174,0.6544
59,2.458,56.7043,0.4254
60,2.500,33.4547,23.9085
61,2.542,33.4064,0.2436
62,2.583,26.2477,8.1195
63,2.625,26.2598,0.1764
64,2.667,26.2600,0.1147
65,2.708,54.0802,28.1546
66,2.750,54.0148,0.4190
67,2.792,42.7320,13.1168
68,2.833,42.6617,0.3433
69,2.875,42.7131,0.1605
70,2.917,27.5087,15.7999
71,2.958,27.5117,0.1829
72,3.000,27.5701,2.7260
73,3.042,27.5876,0.1427
74,3.083,27.5770,0.2171
75,3.125,11.9465,17.3309
