seconds,rms_dbfs,first_difference_db,positive_db_rise
0.000,-120.00000,-120.00000,0.00000
0.010,-120.00000,-120.00000,0.00000
0.020,-120.00000,-120.00000,0.00000
0.030,-120.00000,-120.00000,0.00000
0.040,-120.00000,-120.00000,0.00000
0.050,-120.00000,-120.00000,0.00000
0.060,-120.00000,-120.00000,0.00000
0.070,-120.00000,-120.00000,0.00000
0.080,-120.00000,-120.00000,0.00000
0.090,-120.00000,-120.00000,0.00000
0.100,-120.00000,-120.00000,0.00000
0.110,-120.00000,-120.00000,0.00000
0.120,-120.00000,-120.00000,0.00000
0.130,-120.00000,-120.00000,0.00000
0.140,-120.00000,-120.00000,0.00000
0.150,-120.00000,-120.00000,0.00000
0.160,-120.00000,-120.00000,0.00000
0.170,-120.00000,-120.00000,0.00000
0.180,-120.00000,-120.00000,0.00000
0.190,-120.00000,-120.00000,0.00000
0.200,-120.00000,-120.00000,0.00000
0.210,-120.00000,-120.00000,0.00000
0.220,-120.00000,-120.00000,0.00000
0.230,-120.00000,-120.00000,0.00000
0.240,-120.00000,-120.00000,0.00000
0.250,-120.00000,-120.00000,0.00000
0.260,-120.00000,-120.00000,0.00000
0.270,-120.00000,-120.00000,0.00000
0.280,-120.00000,-120.00000,0.00000
0.290,-120.00000,-120.00000,0.00000
0.300,-120.00000,-120.00000,0.00000
0.310,-120.00000,-120.00000,0.00000
0.320,-120.00000,-120.00000,0.00000
0.330,-120.00000,-120.00000,0.00000
0.340,-120.00000,-120.00000,0.00000
0.350,-120.00000,-120.00000,0.00000
0.360,-120.00000,-120.00000,0.00000
0.370,-120.00000,-120.00000,0.00000
0.380,-120.00000,-120.00000,0.00000
0.390,-120.00000,-120.00000,0.00000
0.400,-120.00000,-120.00000,0.00000
0.410,-120.00000,-120.00000,0.00000
0.420,-120.00000,-120.00000,0.00000
0.430,-120.00000,-120.00000,0.00000
0.440,-120.00000,-120.00000,0.00000
0.450,-120.00000,-120.00000,0.00000
0.460,-120.00000,-120.00000,0.00000
0.470,-120.00000,-120.00000,0.00000
0.480,-120.00000,-120.00000,0.00000
0.490,-109.42279,-108.58119,21.99602
0.500,-101.77071,-101.92675,14.30652
0.510,-97.27120,-98.87176,7.55449
0.520,-92.68806,-97.41271,6.04219
0.530,-89.35345,-96.31664,4.43069
0.540,-87.58847,-95.47939,2.60223
0.550,-86.04735,-95.17541,1.84510
0.560,-84.87783,-94.39540,1.94952
0.570,-86.53323,-94.39237,0.00303
0.580,-87.18335,-94.13954,0.25283
0.590,-82.64012,-93.07451,5.60825
0.600,-83.09028,-95.03939,0.00000
0.610,-90.40502,-102.67547,0.00000
0.620,-120.00000,-120.00000,0.00000
0.630,-120.00000,-120.00000,0.00000
0.640,-120.00000,-120.00000,0.00000
0.650,-120.00000,-120.00000,0.00000
0.660,-120.00000,-120.00000,0.00000
0.670,-120.00000,-120.00000,0.00000
0.680,-120.00000,-120.00000,0.00000
0.690,-120.00000,-120.00000,0.00000
0.700,-120.00000,-120.00000,0.00000
0.710,-120.00000,-120.00000,0.00000
0.720,-120.00000,-120.00000,0.00000
0.730,-120.00000,-120.00000,0.00000
0.740,-120.00000,-120.00000,0.00000
0.750,-120.00000,-120.00000,0.00000
0.760,-120.00000,-120.00000,0.00000
0.770,-80.74399,-95.77796,63.47804
0.780,-63.67872,-72.05779,40.78545
0.790,-32.71838,-37.44340,65.57473
0.800,-11.30809,-29.85765,28.99605
0.810,-7.06298,-25.08997,9.01279
0.820,-6.89674,-23.31400,1.94221
0.830,-7.79858,-24.01822,0.00000
0.840,-8.12752,-26.04411,0.00000
0.850,-8.64297,-27.96214,0.00000
0.860,-9.66989,-29.49465,0.00000
0.870,-10.60633,-30.70025,0.00000
0.880,-11.70120,-31.89071,0.00000
0.890,-14.51024,-34.76143,0.00000
0.900,-15.81798,-30.92636,3.83507
0.910,-16.27658,-28.39361,2.53275
0.920,-17.70801,-30.64481,0.00000
0.930,-20.13014,-34.10834,0.00000
0.940,-20.65943,-33.12717,0.98117
0.950,-21.14011,-32.87196,0.25520
0.960,-21.33568,-32.58557,0.28640
0.970,-21.24217,-32.23422,0.44486
0.980,-21.66005,-32.47786,0.00000
0.990,-25.24887,-35.64974,0.00000
1.000,-24.02267,-31.30873,5.56721
1.010,-17.28700,-27.82879,10.21560
1.020,-17.16253,-29.64742,0.12447
1.030,-20.21753,-33.92389,0.00000
1.040,-19.66960,-32.34310,2.12870
1.050,-20.39056,-32.25968,0.08343
1.060,-21.23675,-32.67517,0.00000
1.070,-20.91995,-32.21606,0.77592
1.080,-21.02230,-31.79985,0.41621
1.090,-21.68565,-32.55868,0.00000
1.100,-21.50626,-34.35149,0.17938
