frame,pts_seconds,gray_mean,mean_absolute_difference
0,0.000,83.8980,0.0000
1,0.040,83.8691,0.7740
2,0.080,83.9067,0.5051
3,0.120,83.7127,0.5759
4,0.160,83.7628,0.4874
5,0.200,83.7856,0.4580
6,0.240,83.7268,0.4712
7,0.280,83.6931,0.4726
8,0.320,83.7660,0.5012
9,0.360,83.7649,0.4459
10,0.400,83.7719,0.4434
11,0.440,83.6157,0.5523
12,0.480,83.6058,0.4358
13,0.520,83.7151,0.5092
14,0.560,83.5326,0.5785
15,0.600,83.6305,0.4971
16,0.640,83.6406,0.4797
17,0.680,83.4793,0.5719
18,0.720,83.4978,0.4933
19,0.760,83.5724,0.5406
20,0.800,83.5966,0.9085
21,0.840,107.2222,59.4901
22,0.880,103.1703,7.5414
23,0.920,95.7214,9.7423
24,0.960,84.3735,13.9576
25,1.000,76.0763,13.6885
26,1.040,65.7522,14.2793
27,1.080,60.0782,11.6006
28,1.120,62.1222,11.2435
29,1.160,60.5522,12.5729
30,1.200,58.2502,6.2175
31,1.240,63.8199,10.0575
32,1.280,65.8572,6.9946
33,1.320,68.1105,6.6618
34,1.360,71.1181,6.0122
35,1.400,72.3581,5.1897
36,1.440,73.9213,4.8513
37,1.480,77.7487,8.0503
38,1.520,81.2946,8.3238
39,1.560,83.9533,8.0762
40,1.600,83.3866,59.3940
41,1.640,83.4846,0.9956
42,1.680,83.4297,0.9447
43,1.720,83.4365,0.3909
44,1.760,83.4437,0.4585
45,1.800,83.4440,0.3963
46,1.840,83.5072,0.3676
47,1.880,83.3568,0.4613
48,1.920,83.3905,0.9781
49,1.960,83.3917,0.9762
50,2.000,83.4757,0.8759
51,2.040,83.4641,0.4298
52,2.080,83.3437,0.5749
53,2.120,83.3278,0.4781
54,2.160,83.4003,0.5399
55,2.200,83.4795,0.9537
56,2.240,83.5187,1.0234
57,2.280,83.3449,1.0326
58,2.320,83.4734,0.5069
59,2.360,87.4358,61.6924
60,2.400,91.4832,7.5079
61,2.440,94.4780,8.0270
62,2.480,96.4608,6.4763
63,2.520,99.1040,7.1872
64,2.560,103.1775,8.3983
65,2.600,108.6419,9.2807
66,2.640,110.8902,6.6822
67,2.680,113.6194,4.6907
68,2.720,112.6275,5.3812
69,2.760,112.6346,5.0493
70,2.800,112.5241,4.9180
71,2.840,111.6203,3.9815
72,2.880,109.8733,5.6799
73,2.920,108.5762,5.5266
74,2.960,107.9548,4.8778
75,3.000,106.6793,5.3127
76,3.040,104.8883,5.3307
77,3.080,106.7974,5.2526
78,3.120,105.6309,4.2344
79,3.160,106.1487,3.8553
80,3.200,107.0610,3.0072
81,3.240,106.4953,4.7708
82,3.280,107.4446,5.5522
83,3.320,107.2411,8.2107
84,3.360,104.1887,9.7533
85,3.400,98.4168,11.1715
86,3.440,97.6477,10.4420
87,3.480,93.9176,11.5868
88,3.520,98.0282,8.8623
89,3.560,96.8719,8.2080
90,3.600,96.9664,3.4022
91,3.640,99.5517,4.8408
92,3.680,97.5642,6.4033
93,3.720,98.9637,6.3978
94,3.760,99.2729,6.7142
95,3.800,99.7306,6.5972
96,3.840,101.7665,8.2789
97,3.880,102.3266,7.5491
98,3.920,100.6723,7.6079
99,3.960,100.3706,5.2303
100,4.000,68.7219,61.5908
101,4.040,68.0981,7.1672
102,4.080,67.5680,8.1879
103,4.120,65.2469,13.2878
104,4.160,62.1423,14.7403
105,4.200,59.7069,10.0265
106,4.240,57.1356,9.1791
107,4.280,55.4363,10.9177
108,4.320,53.8406,10.2262
109,4.360,54.3827,9.6950
110,4.400,55.5622,7.8215
111,4.440,57.2469,10.7793
112,4.480,58.5715,8.4010
113,4.520,58.3828,6.3845
114,4.560,58.9431,9.4203
115,4.600,60.5162,10.0238
116,4.640,62.2355,9.8344
117,4.680,63.6792,9.7310
118,4.720,66.0160,11.3415
119,4.760,67.3201,7.9242
120,4.800,68.3981,5.6484
121,4.840,69.4719,8.6581
122,4.880,70.9363,9.3691
123,4.920,71.5365,6.1992
124,4.960,71.4597,4.6594
125,5.000,70.4708,8.5640
126,5.040,69.9865,8.2211
127,5.080,69.4715,6.3749
128,5.120,68.8447,9.9800
129,5.160,68.5172,10.2299
130,5.200,67.9688,10.6472
131,5.240,68.5209,8.5983
132,5.280,68.4872,56.8619
133,5.320,65.7862,12.3832
134,5.360,64.1606,8.6269
135,5.400,63.0463,11.3737
136,5.440,60.0215,11.4247
137,5.480,57.1599,11.9509
138,5.520,53.8348,9.5868
139,5.560,51.4931,10.6865
140,5.600,50.0513,9.8987
141,5.640,49.0760,6.4422
142,5.680,47.9428,9.2263
143,5.720,47.0740,8.7045
144,5.760,46.3789,8.4578
145,5.800,46.1203,4.7756
146,5.840,44.7265,7.0688
147,5.880,43.9710,7.0425
148,5.920,44.1161,5.2612
149,5.960,42.9622,7.1121
150,6.000,42.4876,7.2960
151,6.040,42.0743,7.3574
152,6.080,43.2879,6.2639
153,6.120,45.4844,8.1884
154,6.160,45.9709,7.7875
155,6.200,47.8657,4.6424
156,6.240,48.1799,6.4617
157,6.280,47.8989,5.6565
158,6.320,47.6228,5.1168
159,6.360,47.0006,3.3495
160,6.400,45.8809,6.7517
161,6.440,44.5124,6.5589
162,6.480,44.8497,3.2714
163,6.520,44.4556,5.4617
164,6.560,44.6934,4.8039
165,6.600,44.9369,4.0051
166,6.640,44.9414,1.4015
167,6.680,44.1322,4.4882
168,6.720,43.9547,4.5217
169,6.760,74.8673,55.0100
170,6.800,74.1617,9.8217
171,6.840,73.2197,14.8851
172,6.880,64.7822,26.4782
173,6.920,50.7133,24.8031
174,6.960,46.3413,21.8104
175,7.000,44.6426,22.8860
176,7.040,44.4867,14.9931
177,7.080,45.2325,15.5497
178,7.120,46.2526,18.9531
179,7.160,46.8008,16.6550
180,7.200,47.7792,12.8426
181,7.240,49.3658,14.8382
182,7.280,52.9621,17.1992
183,7.320,55.6699,15.1066
184,7.360,57.3948,11.4337
185,7.400,59.3369,9.7518
186,7.440,62.3513,11.2728
187,7.480,64.8964,14.3495
188,7.520,65.8024,13.0898
189,7.560,66.9434,7.8364
190,7.600,67.6963,6.2185
191,7.640,68.3631,6.0462
192,7.680,70.0109,7.9102
193,7.720,71.1588,10.6576
194,7.760,71.6319,9.3227
195,7.800,71.7324,6.6133
196,7.840,73.6294,9.5840
197,7.880,74.4095,9.6826
198,7.920,75.1312,9.5446
199,7.960,75.4697,7.3843
200,8.000,75.8906,8.6266
201,8.040,76.1249,10.2854
202,8.080,76.2767,10.6179
203,8.120,76.6508,11.6124
204,8.160,78.2244,12.6351
205,8.200,77.7106,11.0008
206,8.240,78.5719,12.1003
207,8.280,77.2257,12.3448
208,8.320,76.3458,8.5610
209,8.360,76.2204,9.4049
210,8.400,77.5432,10.0628
211,8.440,75.4856,10.6637
212,8.480,76.2509,10.0721
213,8.520,74.1876,10.7241
214,8.560,72.2395,10.1784
215,8.600,71.1892,8.7297
216,8.640,71.8930,10.2165
217,8.680,69.5367,9.7815
218,8.720,68.4972,10.1928
219,8.760,72.5422,47.6812
220,8.800,73.0199,6.0842
221,8.840,73.9806,7.6262
222,8.880,73.6097,7.2241
223,8.920,74.0072,9.0742
224,8.960,80.8591,14.0453
225,9.000,90.4520,18.9612
226,9.040,106.3024,25.6283
227,9.080,112.9094,19.8341
228,9.120,114.2103,16.2798
229,9.160,114.6243,16.1876
230,9.200,109.5840,15.6154
231,9.240,107.0069,15.4435
232,9.280,104.5565,14.8112
233,9.320,102.6948,13.0818
234,9.360,104.1494,13.5441
235,9.400,99.7785,10.4076
236,9.440,99.2510,8.8983
237,9.480,97.6158,6.9794
238,9.520,97.2335,6.1311
239,9.560,97.3190,9.0326
240,9.600,96.5823,9.8973
241,9.640,95.9649,9.4740
242,9.680,95.4224,6.9219
243,9.720,96.7409,9.6219
244,9.760,98.2290,12.9799
245,9.800,100.8644,13.6787
246,9.840,102.8045,10.1721
247,9.880,102.5690,4.6234
248,9.920,101.2097,5.4384
249,9.960,100.0137,5.0912
250,10.000,98.7395,5.7283
251,10.040,98.7058,6.4897
252,10.080,96.9137,6.6093
253,10.120,96.0264,5.6104
254,10.160,99.4467,8.8779
255,10.200,94.8083,11.2344
256,10.240,93.0449,9.2741
257,10.280,92.2101,9.6827
258,10.320,91.0600,9.7656
259,10.360,90.2044,9.2375
260,10.400,73.9471,55.1206
261,10.440,80.5569,28.3867
262,10.480,75.2547,23.9705
263,10.520,70.2178,22.6925
264,10.560,63.4504,21.3467
265,10.600,59.2982,20.1304
266,10.640,56.7299,15.5058
267,10.680,55.2581,11.3047
268,10.720,55.9708,10.7779
269,10.760,56.0450,9.8537
270,10.800,55.9377,5.2177
271,10.840,56.2188,2.0373
272,10.880,56.5290,7.7064
273,10.920,57.6446,12.0924
274,10.960,59.1353,11.5472
275,11.000,62.1647,11.8295
276,11.040,62.8408,12.1485
277,11.080,64.0811,11.9117
278,11.120,64.9653,7.6535
279,11.160,65.0756,5.5985
280,11.200,65.3575,5.4740
281,11.240,64.8139,5.2385
282,11.280,65.2772,4.2842
283,11.320,64.6203,3.7519
284,11.360,65.7315,3.5887
285,11.400,64.6224,4.8794
286,11.440,64.4960,6.1381
287,11.480,63.9254,7.7568
288,11.520,63.4591,5.2916
289,11.560,64.0773,6.6967
290,11.600,65.1246,5.7783
291,11.640,64.1590,4.0983
292,11.680,63.6420,5.5503
293,11.720,63.1900,4.7502
294,11.760,62.9087,2.6412
295,11.800,63.2680,3.2130
296,11.840,63.2638,4.4117
297,11.880,62.5120,6.1930
298,11.920,62.5138,6.2810
299,11.960,62.6628,4.7387
300,12.000,62.3371,5.2764
301,12.040,62.4013,4.2960
302,12.080,63.2656,3.9322
303,12.120,63.2537,4.2467
304,12.160,63.5318,1.8179
305,12.200,63.6815,2.6465
306,12.240,63.8382,3.4782
307,12.280,63.4477,3.5322
308,12.320,64.1256,2.9231
309,12.360,63.8539,2.6678
310,12.400,64.2531,4.6837
311,12.440,65.1297,5.6733
312,12.480,64.9690,5.5568
313,12.520,65.1083,7.3819
314,12.560,65.5288,6.9984
315,12.600,64.8524,5.8760
316,12.640,64.9242,2.1129
317,12.680,65.9490,4.0246
318,12.720,65.8842,7.5888
319,12.760,66.9630,8.8074
320,12.800,66.4503,8.4542
321,12.840,66.2454,8.1350
322,12.880,66.5264,7.8842
323,12.920,67.6969,7.6207
324,12.960,68.7617,5.3253
325,13.000,69.8296,5.1917
326,13.040,87.9633,41.6082
327,13.080,88.4814,2.8396
328,13.120,88.2603,1.8019
329,13.160,88.3309,1.7512
330,13.200,88.2283,1.7231
331,13.240,88.0943,1.7499
332,13.280,87.7839,1.7832
333,13.320,87.8444,2.2275
334,13.360,87.6578,2.8481
335,13.400,87.4952,3.3675
336,13.440,87.0329,4.0609
337,13.480,86.9764,4.6556
338,13.520,87.1198,4.5569
339,13.560,87.1539,4.8047
340,13.600,86.8156,5.2935
341,13.640,86.1331,5.5925
342,13.680,86.8181,4.5504
343,13.720,86.5656,4.5472
344,13.760,86.6281,3.9174
345,13.800,87.2119,3.9481
346,13.840,86.6465,4.1185
347,13.880,86.4247,2.9135
348,13.920,86.5888,2.9599
349,13.960,86.5906,2.5148
350,14.000,86.6239,2.9483
351,14.040,85.8884,3.3812
352,14.080,86.5607,2.8583
353,14.120,87.2075,2.8767
354,14.160,87.5006,2.6501
355,14.200,88.1809,2.9085
356,14.240,87.5434,3.2022
357,14.280,88.4128,2.8094
358,14.320,87.7284,2.5444
359,14.360,87.8098,1.8282
360,14.400,87.7619,2.3011
361,14.440,87.1338,2.9214
362,14.480,86.9358,2.0900
363,14.520,87.2387,2.1596
364,14.560,87.6464,3.0073
365,14.600,88.1297,2.4049
366,14.640,87.8071,2.0147
367,14.680,87.2406,1.7966
368,14.720,86.4547,2.9941
369,14.760,86.4931,2.2718
370,14.800,86.3122,2.3341
371,14.840,87.0192,3.1181
372,14.880,86.2001,2.4573
373,14.920,86.1261,2.0515
374,14.960,86.5197,2.1620
375,15.000,86.0680,2.4014
376,15.040,85.5035,3.3421
377,15.080,84.9610,2.8624
378,15.120,85.0816,2.7322
379,15.160,85.9899,3.4208
380,15.200,85.8145,2.2198
381,15.240,85.5716,3.0119
382,15.280,85.0790,2.9049
383,15.320,85.5499,2.7690
384,15.360,86.1095,2.5418
385,15.400,86.1929,1.0762
386,15.440,85.7515,1.2535
387,15.480,86.1813,1.1871
388,15.520,86.3233,1.2438
389,15.560,86.1190,1.4368
390,15.600,86.3824,1.7975
391,15.640,85.7640,2.7388
392,15.680,85.9352,1.9175
393,15.720,86.5460,2.1290
394,15.760,86.8595,2.8135
395,15.800,87.0097,1.4231
396,15.840,87.1752,1.4968
397,15.880,87.3190,1.6644
398,15.920,88.1996,2.1167
399,15.960,88.4257,2.0049
400,16.000,87.7149,2.9137
401,16.040,87.5117,3.2715
402,16.080,86.7199,4.0626
403,16.120,87.8021,3.4158
404,16.160,87.4121,2.8228
405,16.200,87.9605,1.9683
406,16.240,87.6570,2.1304
407,16.280,87.7851,2.0167
408,16.320,87.2311,3.0806
409,16.360,87.4157,2.3336
410,16.400,87.6019,2.7192
411,16.440,88.4417,3.2965
412,16.480,88.3527,3.0171
413,16.520,88.3944,3.0088
414,16.560,89.2128,3.4206
415,16.600,88.7460,3.4381
416,16.640,47.9651,45.7477
417,16.680,47.9506,13.8093
418,16.720,47.8301,12.6799
419,16.760,48.2860,11.3015
420,16.800,48.5364,9.1900
421,16.840,48.7692,7.3507
422,16.880,48.5075,7.6794
423,16.920,47.1269,8.3065
424,16.960,45.8617,8.8683
425,17.000,45.0155,9.8985
426,17.040,43.7584,11.0342
427,17.080,43.0183,12.2143
428,17.120,41.9123,14.4731
429,17.160,40.5006,15.9051
430,17.200,40.0076,15.4963
431,17.240,41.1108,14.2144
432,17.280,42.8156,13.7001
433,17.320,45.0069,14.6500
434,17.360,48.7536,16.8934
435,17.400,50.0324,16.7388
436,17.440,50.0363,16.0466
437,17.480,49.8625,15.2150
438,17.520,49.2611,12.2883
439,17.560,48.7866,8.9622
440,17.600,48.8792,8.4256
441,17.640,48.8234,8.7354
442,17.680,49.1876,8.8414
443,17.720,49.3289,9.0835
444,17.760,49.1478,8.4916
445,17.800,49.1417,8.5490
446,17.840,49.6064,8.9676
447,17.880,50.2505,8.2877
448,17.920,51.0158,8.0968
449,17.960,51.8021,8.0926
450,18.000,52.3047,9.3543
451,18.040,53.5006,11.3706
452,18.080,55.0533,11.7165
